id,kind,sp_mean,sp_std,sp_p50,sp_p90,sp_p99,hz_mean,vt_mean,idle_frac,rev_frac,turn_mean,turn_std,straight_w,y_mean,y_std,y_range,ext_x,ext_z,radius_mean,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11
npc109,npc,0.00630104,0.0050777,0.00984886,0.0106301,0.0122066,0.00630104,0,0.381535,0,0.053347,0.051092,0.999174,0.9,0,0,104.183,87.577,717.243,0.999862,0.000103463,0,0,0,0,0,0.0000344875,0,0,0,0
npc110,npc,0.00673557,0.00483365,0.00984886,0.0106301,0.0123693,0.00673396,0.0000323148,0.337046,0,0.0508009,0.0515698,0.999011,1.06953,0.249656,0.869,72.885,110.519,610.795,0.999966,0.0000344875,0,0,0,0,0,0,0,0,0,0
npc111,npc,0.00591584,0.00550621,0.00948683,0.0104403,0.0120416,0.00591422,0.0000331425,0.41854,0,0.0569892,0.0509466,0.9989,1.09637,0.13038,0.401,52.319,67.594,592.614,0.999759,0.00013795,0,0.0000344875,0,0,0,0,0.0000344875,0,0,0.0000344875
npc112,npc,0.00628618,0.00504818,0.00984886,0.0106301,0.0121655,0.00628371,0.0000496275,0.380328,0,0.0603039,0.048139,0.998744,1.12477,0.234444,0.889,71.658,82.718,592.048,0.999931,0.0000344875,0,0,0,0,0,0.0000344875,0,0,0,0
npc113,npc,0.00590662,0.00505262,0.00948683,0.0104881,0.0120416,0.00590377,0.0000573527,0.419886,0,0.0497642,0.0488943,0.998839,1.31155,0.277812,1.007,72.522,57.471,575.617,1,0,0,0,0,0,0,0,0,0,0,0
npc114,npc,0.00656428,0.00549347,0.00989949,0.0106301,0.0123693,0.00656035,0.0000803559,0.357567,0,0.0543355,0.0473423,0.998704,3.18671,0.354095,1.325,85.795,99.972,459.034,0.999655,0.000206925,0,0.0000344875,0,0,0,0.0000344875,0.0000344875,0,0,0.0000344875
npc115,npc,0.00599641,0.00560252,0.00948683,0.0106301,0.0120416,0.00599341,0.0000608705,0.413229,0,0.0536953,0.0504705,0.998764,3.20448,0.092382,0.364,58.006,71.694,453.285,0.999724,0.00013795,0,0.0000344875,0,0,0,0.0000344875,0.0000344875,0,0,0.0000344875
npc116,npc,0.00589943,0.00561574,0.00948683,0.0104881,0.0120416,0.00589537,0.0000824252,0.422162,0,0.0481162,0.0489823,0.998752,3.23838,0.197872,0.872,42.781,55.097,466.668,0.999759,0.000103463,0,0.0000344875,0,0,0,0.0000344875,0.0000344875,0,0,0.0000344875
npc117,npc,0.00621781,0.00497122,0.00984886,0.0104403,0.0120416,0.00621385,0.0000797696,0.387364,0,0.0547935,0.0490855,0.998624,2.87418,0.221466,0.768,53.892,97.359,488.288,0.999966,0.0000344875,0,0,0,0,0,0,0,0,0,0
npc118,npc,0.0061965,0.00565476,0.00984886,0.0108628,0.0123693,0.00611109,0.000569768,0.40178,0,0.053933,0.0489692,0.998403,4.23875,2.99947,9.762,146.103,28.177,535.933,0.999655,0.000206925,0,0.0000344875,0,0,0,0.0000344875,0.0000344875,0,0,0.0000344875
npc119,npc,0.00645066,0.00552311,0.00984886,0.0104881,0.0123693,0.00644727,0.0000685612,0.368913,0,0.0457886,0.0476281,0.998935,3.35803,0.153496,0.615,106.87,112.679,402.582,0.999655,0.000206925,0,0.0000344875,0,0,0,0.0000344875,0.0000344875,0,0,0.0000344875
